key,ios,iops,median
1,1381351,138134.91531361823,7244
2,2627845,262784.2389599057,7689
4,5119133,511912.8029119327,7727
8,6632376,663236.5589466792,11689
16,10186457,1018643.2354686607,15580
32,17103031,1710297.9838974087,19527
