key,ios,iops,median
1,2759380,137968.90802302747,7244
2,5402859,270142.82183073816,3803
4,10694073,534703.421039995,1841
8,16102803,805139.7161504639,1063
16,17830879,891543.1162734549,1079
32,17849564,892476.527588235,1076
64,17852782,892635.6958891419,1080
