key,ios,iops,median
8,4096,112851.97155094371,6953
16,8192,124353.52900727464,7043
32,16384,132134.0085953237,6973
64,32768,135478.51791462774,7033
128,65536,136295.61277241792,7103
256,131072,136955.94585657248,7114
512,262144,137421.4147888397,7113
1024,524288,137672.2049944594,7114
2048,1048576,137987.5178990248,7104
