key,ios,iops,median
8,4096,110785.21972622797,8664
16,8192,113358.965208664,8650
32,16384,112501.7284849611,8652
64,32768,114632.1350606674,8646
128,65536,114847.94267152966,8646
256,131072,114755.71974574761,8644
512,262144,114757.23340470174,8645
1024,524288,114756.74357484849,8645
