key,ios,iops,median
1,1375078,137507.68267844513,7245
2,2608055,260805.15673601074,7695
4,5052389,505238.3915917427,7728
8,5065324,506531.50440018455,15538
16,5049387,504937.3676413678,31187
32,5129223,512890.12603520014,38999
64,5219744,521742.43500596925,38999
