pages,latency
8,8646.0
16,8642.0
32,8641.0
64,8642.0
128,8641.0
144,8643.0
160,8640.0
176,8641.0
192,8641.0
208,8642.0
224,8640.0
240,8641.0
256,8644.0
512,8643.0
1024,8642.0
2048,8641.0
4096,8636.0
8192,8656.0
