pages,latency
8,8691.0
16,8679.0
32,8644.0
64,8658.0
128,8651.0
144,8872.0
160,8908.0
176,8955.0
192,8945.0
208,8958.0
224,8959.0
240,8953.0
256,8938.0
512,8955.0
1024,8959.0
2048,8958.0
4096,8966.0
8192,8950.0
