key,ios,iops,median
1,2759557,137977.79558845633,7244
2,5322770,266138.39068365603,3813
4,10640468,532023.1621856465,1849
8,15940710,797035.0779300745,1096
16,17662382,883118.2475701116,1095
32,17650275,882512.0529734478,1095
64,17838089,891901.0550232291,1082
