latency,cdf
7.0970,1.2157126483230217e-07
7.1170,1.0941413834907196e-06
7.1200,2.0667115021491367e-06
7.1210,2.188282766981439e-06
7.1220,2.309854031813741e-06
7.1240,3.403995415304461e-06
7.1260,3.8902804746336695e-06
7.1270,4.254994269130575e-06
7.1290,5.349135652621296e-06
7.1310,6.686419565776619e-06
7.1370,1.4102266720547051e-05
7.1450,2.2855397788472806e-05
7.1470,2.5286823085118852e-05
7.1480,2.6259393203777268e-05
7.1530,3.2702670239889284e-05
7.1590,4.777750707909475e-05
7.1600,5.105993122956691e-05
7.1650,7.549575546085965e-05
7.1700,0.00012558311657176813
7.1810,0.000539533273325757
7.1840,0.0008626696952500161
7.1860,0.0011879943999412567
7.1870,0.0014121718122920219
7.1890,0.0019230142671173556
7.1920,0.0026455122940157276
7.1950,0.0036365612449286546
7.1980,0.005767705517438912
7.2020,0.011561791999346432
7.2040,0.014055340212321783
7.2100,0.025627830482973457
7.2130,0.03148075745705981
7.2180,0.05547856042116176
7.2250,0.08497563954995291
7.2270,0.09166509839735033
7.2290,0.09958376430346716
7.2300,0.10321667841045085
7.2410,0.1727133782368957
7.2440,0.193997467427411
7.2480,0.2243027523248073
7.2490,0.23442441112095028
7.2510,0.2543594239856215
7.2570,0.3389277997983862
7.2600,0.41477270793184423
7.2630,0.4607298068913401
7.2650,0.48266940834183114
7.2700,0.5434821511500398
7.2720,0.5624986931089031
7.2740,0.5871159016673256
7.2800,0.6941824988924857
7.2830,0.7262368295770244
7.2850,0.7369273203213177
7.2990,0.8140876295402613
7.3000,0.8203626519458453
7.3050,0.8353320864984413
7.3100,0.8449752407962042
7.3180,0.861177894259259
7.3200,0.8652843284427645
7.3220,0.8684907705527165
7.3270,0.872766796650663
7.3310,0.8758108195507991
7.3350,0.8788615288705008
7.3380,0.8826646427482497
7.3400,0.8855943886594434
7.3530,0.8931308345089275
7.3550,0.8946058586651378
7.3590,0.8982275882157569
7.3620,0.9009349802835722
7.3640,0.9022326319643923
7.3650,0.9027980599171272
7.3680,0.904597557779175
7.3720,0.9069181100822941
7.3810,0.9152837935291992
7.3840,0.9171614617145342
7.3870,0.9185939359280532
7.3940,0.9224907812509877
7.3950,0.923393934177427
7.3980,0.9260016378080799
7.4000,0.9274414062974887
7.4050,0.9298823141527918
7.4080,0.9310621632779892
7.4100,0.9318323172407018
7.4120,0.9325972436390267
7.4130,0.9329871226853439
7.4190,0.9369922880052441
7.4200,0.9379451635789997
7.4260,0.9411574411096636
7.4280,0.9423447060820158
7.4290,0.9431555864184473
7.4350,0.9473716778828316
7.4380,0.9515965224782837
7.4410,0.9551122418859691
7.4420,0.9560701018815828
7.4440,0.9575431808975557
7.4520,0.9620121405927912
7.4530,0.9626243734824866
7.4560,0.9646655550190211
7.4590,0.9674091753237565
7.4710,0.9734601418882546
7.4720,0.9738124554137386
7.4730,0.9741445881092605
7.4780,0.9774005097239992
7.4790,0.9781566829912561
7.4800,0.9787385230647435
7.4840,0.980317125938591
7.4910,0.9825982891519043
7.4940,0.9835886086752282
7.4960,0.9845489000961386
7.5120,0.9898078298702543
7.5160,0.9907836824130631
7.5180,0.991564534647081
7.5190,0.9919268170162813
7.5220,0.9926215967947979
7.5230,0.9927796394390799
7.5270,0.9932519438029535
7.5280,0.9933895624747435
7.5300,0.9936585996838174
7.5370,0.9945725724528267
7.5380,0.9947114068372652
7.5390,0.994876865328702
7.5420,0.995274889649763
7.5430,0.9953491696925755
7.5460,0.9955400365783622
7.5480,0.9956594195604275
7.5510,0.9958327801840784
