key,ios,iops,median
1,8053379,134222.96692681266,7524
2,16356843,272614.01396497095,3687
4,33921223,565353.6361791539,1743
8,49604836,826747.1274148922,891
16,49628804,827143.0898920938,671
32,49631297,827183.4437311591,661
64,49632384,827202.036040512,632
128,49630813,827177.4911306198,571
