latency,cdf
0.3710,7.201981120966755e-07
0.3800,8.402311307794548e-07
0.3900,1.6804622615589097e-06
0.3910,2.640726411021144e-06
0.4000,3.841056597848937e-06
0.4010,4.201155653897274e-06
0.4100,4.321188672580053e-06
0.4110,5.521518859407846e-06
0.4200,6.001650934138963e-06
0.4210,6.961915083601197e-06
0.4410,7.442047158332314e-06
0.4710,7.562080177015094e-06
0.5110,7.802146214380651e-06
0.6410,8.04221225174621e-06
0.6810,8.16224527042899e-06
0.7110,8.28227828911177e-06
0.7510,8.522344326477327e-06
0.7620,8.642377345160106e-06
0.8010,8.762410363842886e-06
0.8110,8.882443382525665e-06
0.8320,9.002476401208445e-06
0.8920,9.122509419891224e-06
0.9920,9.362575457256782e-06
1.0020,9.482608475939561e-06
1.1020,1.0202806588036237e-05
1.1120,1.0322839606719016e-05
1.1420,1.0442872625401796e-05
1.1520,1.0562905644084575e-05
1.1620,1.0682938662767355e-05
1.1820,1.0802971681450133e-05
1.1930,1.0923004700132912e-05
1.2120,1.1043037718815692e-05
1.2320,1.1163070737498471e-05
1.2330,1.128310375618125e-05
1.2420,1.1523169793546808e-05
1.2530,1.1643202812229588e-05
1.2620,1.1763235830912367e-05
1.2820,1.1883268849595147e-05
1.2920,1.2003301868277926e-05
1.3230,1.2123334886960706e-05
1.4120,1.2363400924326263e-05
1.4220,1.2483433943009043e-05
1.4230,1.2603466961691822e-05
1.4530,1.2843532999057381e-05
1.4630,1.3083599036422939e-05
1.4930,1.3203632055105718e-05
1.5030,1.3323665073788498e-05
1.5230,1.3683764129836836e-05
1.5330,1.3803797148519614e-05
1.5430,1.4043863185885173e-05
1.5930,1.4283929223250732e-05
1.6130,1.464402827929907e-05
1.6230,1.4764061297981849e-05
1.6440,1.4884094316664628e-05
1.6530,1.5124160354030187e-05
1.7130,1.5484259410078524e-05
1.7240,1.5604292428761302e-05
1.7830,1.5964391484809642e-05
1.7930,1.608442450349242e-05
1.8140,1.62044575221752e-05
1.8330,1.632449054085798e-05
1.8630,1.6924655634271875e-05
1.8840,1.7044688652954653e-05
