key,ios,iops,median
8,32768,122532.26339223923,8037
16,65536,122981.55555521943,8031
32,131072,123410.53967323921,8025
64,262144,123434.44118354458,8025
128,524288,120758.88328164641,8238
256,1048576,120286.83646634858,8271
512,2097152,120095.34736284814,8285
1024,4194304,119626.85997812451,8316
2048,8388608,119467.43297738071,8320
